"Menu","Menu"
"Relationship Essentials","Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"Home","Trang chính"
"Welcome to Relationship Essentials","Chào mừng Bạn đến với Khóa học Các Kỹ năng Cơ bản để Xây dựng Quan hệ"
"Perceptions","Nhận thức"
"Knowing Me, Knowing You","Biết mình, Biết người"
"I've Got the Power","Tôi Có Sức Mạnh"
"Harmonious Relationships","Quan hệ Hòa thuận"
"Ingredients of a Great Relationship","Các Yếu tố Tạo nên Mối quan hệ Tốt đẹp"
"Crucial Conversations","Các Cuộc Trò chuyện Quan trọng"
"Mastering Challenging Situations","Làm chủ Tình huống Khó khăn"
"Getting Real with Relationships","Vận dụng vào các Mối Quan hệ Thực tế"
"It's a Wrap","Tổng kết"
"Facebook Template","Mẫu Facebook"
"Crucial Conversations Template","Mẫu Cuộc trò chuyện Quan trọng"
"My Notes","Lưu ý của Tôi"
"My Library","Thư viện của Tôi"
"App Quick Guide","Hướng dẫn Nhanh về Ứng dụng"
"Backup","Sao lưu"
"Version:","Phiên bản:"
"Notes","Lưu ý"
"Note","Lưu ý"
"Save","Lưu"
"PRE-WORK","CHUẨN BỊ"
"PRE-WORK","CHUẨN BỊ"
"In preparation for your up and coming workshop and to help you maximize your learning once there, please take some time to complete the following activities. Please invest some time in completing these activities as they will be referred to on the workshop.","Để giúp bạn chuẩn bị cho hội thảo sắp tới và phát huy tối đa kiến thức học tập sau khi tham gia hội thảo, vui lòng dành chút thời gian để hoàn thành các bài tập thực hành sau. Vui lòng dành chút thời gian để hoàn thành các bài tập thực hành này vì các bài tập này sẽ được đề cập đến trong buổi hội thảo."
"HAPPINESS SURVEY","KHẢO SÁT VỀ HẠNH PHÚC"
"Please carry out a survey with three people you do not know – one DHL Express employee and two people from outside of DHL Express asking them:","Vui lòng tiến hành khảo sát với ba người mà bạn không biết, trong đó một người là nhân viên DHL Express và hai người còn lại không phải là nhân viên DHL Express, hãy hỏi họ:"
"‘What makes you happy?’","'Điều gì khiến bạn hạnh phúc?'"
"Please record your answers, so that you are ready to share your answers at the ‘Relationship Essentials’ workshop.","Vui lòng ghi lại các câu trả lời mà bạn nhận được và sẵn sàng chia sẻ những câu trả lời này tại hội thảo 'Các Kỹ năng Cơ bản để Xây dựng Quan hệ'."
"OBSERVING INTERACTIONS","QUAN SÁT CÁC HOẠT ĐỘNG TƯƠNG TÁC"
"On your journey to the workshop, take some time to observe how others interact around you, in particularly those providing a service to you.","Trong thời gian sắp tham dự hội thảo, hãy dành ít phút để quan sát cách mọi người xung quanh bạn tương tác, đặc biệt là những người cung cấp dịch vụ cho bạn."
"Record observations of how engaged and happy they are in their work and the impact they have on others. Be prepared to share these insights on the workshop.","Ghi lại quan sát của bạn về mức độ gắn kết và hạnh phúc của họ trong công việc và tác động của họ đối với những người khác. Sẵn sàng chia sẻ những cảm nghĩ này trong buổi hội thảo."
"PRE-WORK","CHUẨN BỊ"
"CIM PART 1 DISCOVERY CHALLENGE","CIM PHẦN 1 KHÁM PHÁ THỬ THÁCH"
"Reflect back on the Discovery Activity Challenge you were asked to complete as part of your CIM Part 1, The Successful DHL Express Manager Workshop. You were asked to identify two team members/colleagues who you found it more difficult to emotionally engage with. You were asked to complete a ‘Facebook style’ template as a way of finding out more about these people and to then using it on an ongoing basis to engage with them.","Suy ngẫm lại Bài tập Thực hành Khám phá Thử thách mà bạn được yêu cầu hoàn thành như một phần của chương trình CIM Phần 1, Hội thảo về Nhà Quản lý Thành công tại DHL Express. Bạn được yêu cầu xác định hai thành viên trong đội/đồng nghiệp mà bạn nhận thấy khó gắn kết về mặt cảm xúc với họ hơn. Bạn được yêu cầu hoàn thành mẫu 'mang phong cách Facebook' như là một cách để tìm hiểu thêm về những người này và sau đó tiếp tục sử dụng mẫu này để gắn kết với họ."
"CONSIDER, HAS THE RELATIONSHIP IMPROVED?","XEM XÉT MỐI QUAN HỆ ĐÃ ĐƯỢC CẢI THIỆN CHƯA?"
"If so how and if not, what do you think the contributing factors are? <br> Please also take some time to reflect on the PTA results from CIM Part 1. Identifying the Respect and Results behaviors that you were strongest in and those that you needed to develop. <br>  Please capture your insights.","Nếu có thì như thế nào và nếu không thì bạn nghĩ các yếu tố góp phần dẫn đến việc này là gì? <br> Vui lòng dành chút thời gian để suy ngẫm về kết quả PTA trong Chương trình CIM Phần 1. Xác định các hành vi ứng xử Tôn trọng và Kết quả mà bạn có nhiều ưu thế nhất và những hành vi bạn cần phát huy. <br>  Ghi lại những điều bạn suy ngẫm."
"PRE-WORK - RELATIONSHIP MAPPING","CHUẨN BỊ - LẬP SƠ ĐỒ MỐI QUAN HỆ"
"Relationship mapping is a useful tool for highlighting potentially challenging relationships and possible crucial conversations.","Lập sơ đồ mối quan hệ là công cụ hữu ích dùng để nhấn mạnh các mối quan hệ thách thức tiềm ẩn và các cuộc trò chuyện quan trọng có thể diễn ra."
